575   1.262e-01   8.130e-02   5.358e-20   1.00E+00	1.00E+00	1.00E+00
578   1.245e-01   7.992e-02   4.606e-20   1.00E+00	1.00E+00	1.00E+00
580   1.217e-01   7.850e-02   4.637e-20   1.00E+00	1.00E+00	1.00E+00
583   1.191e-01   7.711e-02   4.563e-20   1.00E+00	1.00E+00	1.00E+00
586   1.175e-01   7.581e-02   4.880e-20   1.00E+00	1.00E+00	1.00E+00
588   1.172e-01   7.455e-02   5.159e-20   1.00E+00	1.00E+00	1.00E+00
591   1.186e-01   7.336e-02   5.765e-20   1.00E+00	1.00E+00	1.00E+00
593   1.222e-01   7.228e-02   5.611e-20   1.00E+00	1.00E+00	1.00E+00
596   1.275e-01   7.117e-02   4.249e-20   1.00E+00	1.00E+00	1.00E+00
598   1.328e-01   6.999e-02   3.893e-20   1.00E+00	1.00E+00	1.00E+00
601   1.365e-01   6.757e-02   3.874e-20   1.00E+00	1.00E+00	1.00E+00
603   1.374e-01   6.651e-02   3.034e-20   1.00E+00	1.00E+00	1.00E+00
605   1.353e-01   6.543e-02   2.076e-20   1.00E+00	1.00E+00	1.00E+00
608   1.310e-01   6.437e-02   1.990e-20   1.00E+00	1.00E+00	1.00E+00
610   1.256e-01   6.335e-02   2.700e-20   1.00E+00	1.00E+00	1.00E+00
613   1.202e-01   6.236e-02   3.487e-20   1.00E+00	1.00E+00	1.00E+00
615   1.152e-01   6.137e-02   3.541e-20   1.00E+00	1.00E+00	1.00E+00
618   1.107e-01   6.038e-02   3.180e-20   1.00E+00	1.00E+00	1.00E+00
620   1.070e-01   5.942e-02   2.798e-20   1.00E+00	1.00E+00	1.00E+00
623   1.038e-01   5.848e-02   2.439e-20   1.00E+00	1.00E+00	1.00E+00
625   1.007e-01   5.754e-02   2.069e-20   1.00E+00	1.00E+00	1.00E+00
627   9.740e-02   5.663e-02   1.634e-20   1.00E+00	1.00E+00	1.00E+00
630   9.400e-02   5.575e-02   1.319e-20   1.00E+00	1.00E+00	1.00E+00
632   9.046e-02   5.486e-02   1.304e-20   1.00E+00	1.00E+00	1.00E+00
635   8.676e-02   5.400e-02   1.402e-20   1.00E+00	1.00E+00	1.00E+00
